"ruta","bytes","sha256","estado","nota"
"informe-tecnico/Reporte-tecnico-Sultana-del-Norte-2026.docx","44735000","176e626e7e18c04a3c444b995cbf5cc311be8a1bc404905b2e69fd087b6d53b0","vigente","Fuente editable del reporte técnico integral"
"informe-tecnico/Reporte-tecnico-Sultana-del-Norte-2026.pdf","6366680","ce8eb68ce3716bf378ea09f759533816d35e50464147452c254ba7aed857abc7","vigente","Exportación PDF verificada; 84 páginas"
"material-complementario/Informe-diseno-CAD-Sultana-del-Norte.docx","2456467","6a1ecd44f763bbc246181b87148733136367297bc6427008ffc79bcce93d0b32","complementario","Fuente editable del informe mecánico"
"material-complementario/Informe-diseno-CAD-Sultana-del-Norte.pdf","628415","78acb630de28723f074ca8d6fa0b77077765f01fca70ba5721889e347be46211","complementario","Exportación PDF verificada; 6 páginas"
"material-complementario/Protocolo-ExpoCiencias-NL-mayo-2026.docx","6105921","6712b7a4adcdf99bfd3624f3aeb1a700f3295bfe3b3fd0ddda3f8f2a0242c2f8","historico","Etapa de mayo de 2026; no usar como especificación vigente"
"material-complementario/Protocolo-ExpoCiencias-NL-mayo-2026.pdf","1312090","f72bc62e5fb9782a9ac66c2d728724e36cdf857b8c575fb0b2eab386764806e9","historico","Exportación PDF verificada; 50 páginas"
